Produto	Tempo_prod_medio_dias
776	17
988	17
754	16
963	16
814	16
960	16
771	16
756	16
979	16
785	16
985	16
757	16
765	16
774	16
943	16
986	16
788	16
961	16
775	16
789	16
989	16
809	16
772	16
972	16
955	16
992	16
786	16
758	16
967	16
787	16
993	16
755	16
515	16
947	15
801	15
767	15
953	15
964	15
970	15
976	15
807	15
784	15
956	15
810	15
764	15
518	15
804	15
827	15
996	15
824	15
944	15
818	15
987	15
781	15
795	15
978	15
973	15
792	15
749	15
823	15
815	15
763	15
517	15
803	15
826	15
995	15
798	15
821	15
778	15
790	15
990	15
984	15
747	15
950	15
981	15
949	15
769	15
752	15
514	15
520	15
812	15
783	15
760	15
829	15
806	15
969	15
975	15
998	15
766	15
894	15
980	15
794	15
751	15
800	15
516	15
997	15
966	15
519	15
957	15
811	15
817	15
780	15
828	15
974	15
983	15
797	15
777	15
977	15
791	15
759	15
521	15
805	15
782	15
999	15
945	15
951	15
991	15
816	15
825	15
779	15
802	15
793	15
750	15
773	15
822	15
799	15
748	15
820	15
954	15
768	15
522	15
808	15
946	15
994	15
796	15
770	15
819	15
942	15
982	15
753	15
968	15
959	15
813	15
962	14
971	14
965	14
762	14
958	14
761	14
890	10
901	10
830	10
329	10
924	10
838	10
738	10
893	10
532	10
744	10
887	10
718	10
724	10
331	10
729	10
743	10
723	10
892	10
531	10
680	10
835	10
886	10
400	10
918	10
735	10
904	10
927	10
721	10
727	10
529	10
741	10
737	10
328	10
906	10
720	10
898	10
706	10
534	10
726	10
889	10
746	10
832	10
740	10
732	10
895	10
834	10
840	10
350	10
399	10
728	10
926	10
734	10
903	10
897	10
745	10
717	10
920	10
316	10
725	10
731	10
324	10
919	10
722	10
3	10
899	10
736	10
885	10
925	10
902	10
733	10
401	10
836	10
730	10
742	10
533	10
327	10
905	10
719	10
398	10
896	10
833	10
839	10
330	10
900	10
831	10
888	10
739	10
917	10
891	10
