Produto	Quant_Fabric
3	760270
532	415640
331	209088
316	209088
324	207820
401	106868
350	104544
531	104544
534	103910
399	103910
327	103910
533	103910
329	81210
529	80771
398	80771
945	77465
894	76936
328	53176
806	52466
950	51884
400	51511
804	40050
802	38938
994	36355
330	26130
803	22730
995	22617
826	20664
811	20135
517	19922
818	19922
996	18235
824	14543
810	14347
816	13964
516	13931
829	12789
821	12789
819	12336
949	12248
805	11971
827	11901
518	11847
812	11847
951	11570
807	11123
813	8299
820	8224
828	7915
519	7823
947	7745
808	5637
815	5467
946	5269
825	5268
520	5213
522	5204
823	5198
514	4880
817	4809
809	4138
738	3808
836	3267
747	3063
729	2978
515	2947
743	2886
833	2676
725	2654
722	2615
748	2431
521	2343
782	2246
726	2228
730	2227
770	2186
760	2137
893	2109
835	2027
739	2002
742	1948
783	1916
822	1813
762	1810
763	1810
761	1784
765	1703
737	1691
892	1677
834	1655
838	1632
781	1558
832	1490
780	1473
890	1381
779	1375
885	1326
797	1317
793	1294
784	1268
746	1268
736	1263
973	1259
839	1243
998	1228
904	1228
801	1191
831	1179
794	1134
718	1109
976	1090
895	1071
899	1069
798	1035
969	991
768	955
886	948
957	939
727	922
719	898
887	894
799	889
972	886
723	862
764	851
814	833
999	829
917	828
891	818
766	812
954	808
979	803
896	797
961	797
830	788
966	786
905	782
920	765
840	760
795	760
953	745
925	744
788	740
733	738
889	732
786	720
789	715
944	711
965	710
918	690
926	677
900	671
974	670
758	664
790	664
924	645
775	639
958	635
787	617
717	601
776	596
720	588
734	582
754	582
888	572
745	562
796	557
680	557
741	556
800	550
744	518
777	515
955	514
792	502
706	502
772	501
962	500
773	498
785	498
740	498
724	498
767	498
759	496
728	496
771	479
778	471
769	465
791	441
977	425
970	417
774	413
897	410
963	408
901	408
967	407
959	406
919	386
981	386
988	384
984	375
992	362
987	357
906	350
986	346
753	340
721	340
732	324
990	304
755	296
735	296
975	296
997	294
749	285
985	270
756	256
731	256
956	246
968	234
902	225
991	218
982	215
964	204
898	202
960	197
971	188
983	183
942	182
993	182
927	182
752	179
980	176
750	168
903	166
978	156
751	151
943	150
989	143
757	104
